,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,start_date,end_date,poll_date
0,RCP Average,4/13 - 4/29,--,,47.4,42.1,Biden +5.3,2020-04-13,2020-04-29,2020-04-21 00:00:00
1,IBD/TIPPIBD/TIPP,4/26 - 4/29,948 RV,3.3,43.0,43.0,Tie,2020-04-26,2020-04-29,2020-04-27 12:00:00
2,EmersonEmerson,4/26 - 4/28,1200 RV,2.8,48.0,42.0,Biden +6,2020-04-26,2020-04-28,2020-04-27 00:00:00
3,Economist/YouGovYouGov,4/26 - 4/28,1222 RV,3.2,47.0,41.0,Biden +6,2020-04-26,2020-04-28,2020-04-27 00:00:00
4,USA Today/SuffolkUSA Today,4/21 - 4/25,1000 RV,3.0,50.0,40.0,Biden +10,2020-04-21,2020-04-25,2020-04-23 00:00:00
5,Economist/YouGovYouGov,4/19 - 4/21,1144 RV,3.4,48.0,42.0,Biden +6,2020-04-19,2020-04-21,2020-04-20 00:00:00
6,The Hill/HarrisXThe Hill,4/19 - 4/20,958 RV,3.2,42.0,40.0,Biden +2,2020-04-19,2020-04-20,2020-04-19 12:00:00
7,NBC News/Wall St. JrnlNBC/WSJ,4/13 - 4/15,900 RV,3.3,49.0,42.0,Biden +7,2020-04-13,2020-04-15,2020-04-14 00:00:00
8,Harvard-HarrisHarris,4/14 - 4/16,LV,,53.0,47.0,Biden +6,2020-04-14,2020-04-16,2020-04-15 00:00:00
9,Economist/YouGovYouGov,4/12 - 4/14,1166 RV,3.4,48.0,43.0,Biden +5,2020-04-12,2020-04-14,2020-04-13 00:00:00
10,MonmouthMonmouth,4/3 - 4/7,743 RV,3.6,48.0,44.0,Biden +4,2020-04-03,2020-04-07,2020-04-05 00:00:00
11,FOX NewsFOX News,4/4 - 4/7,1107 RV,3.0,42.0,42.0,Tie,2020-04-04,2020-04-07,2020-04-05 12:00:00
12,Economist/YouGovYouGov,4/5 - 4/7,1147 RV,3.3,48.0,42.0,Biden +6,2020-04-05,2020-04-07,2020-04-06 00:00:00
13,CNBCCNBC,4/3 - 4/6,604 RV,4.0,44.0,39.0,Biden +5,2020-04-03,2020-04-06,2020-04-04 12:00:00
14,CNNCNN,4/3 - 4/6,875 RV,3.9,53.0,42.0,Biden +11,2020-04-03,2020-04-06,2020-04-04 12:00:00
15,QuinnipiacQuinnipiac,4/2 - 4/6,2077 RV,2.2,49.0,41.0,Biden +8,2020-04-02,2020-04-06,2020-04-04 00:00:00
16,IBD/TIPPIBD/TIPP,3/29 - 4/1,980 RV,3.2,47.0,41.0,Biden +6,2020-03-29,2020-04-01,2020-03-30 12:00:00
17,Economist/YouGovYouGov,3/29 - 3/31,1194 RV,3.2,46.0,42.0,Biden +4,2020-03-29,2020-03-31,2020-03-30 00:00:00
